sampling_rate_hz,freq_resolution_hz,window_duration_s,windows_per_epoch,pts_per_window,smooth_factor,high_filter,low_filter,notch_filter,zero_means_suppressed,col_index,i_code,i_group,sub_index,csv_header,mmx_instrument,variable_name,family,sub_column,units,power_scale,freq_band,freq_min_hz,freq_max_hz,hemisphere,region,electrode,engine,epoch_duration_s,epoch_step_s,rows_per_obs,resolution,evidence_tier,evidence_note
64.0,,,,,,26 Hz,0.2 sec,50+60 Hz,,19,I4_4,4,4,"aEEG, Anterior",aEEG Anterior_avg,aeeg_anterior_p75,aeeg,p75,µV (peak-to-peak),,,,,,anterior,,aEEG01,1.0,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: Max, Min, Median, p75, p25"
64.0,,,,,,26 Hz,0.2 sec,50+60 Hz,,20,I4_5,4,5,"aEEG, Anterior",aEEG Anterior_avg,aeeg_anterior_p25,aeeg,p25,µV (peak-to-peak),,,,,,anterior,,aEEG01,1.0,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: Max, Min, Median, p75, p25"
64.0,,,,,,26 Hz,0.2 sec,50+60 Hz,,21,I5_1,5,1,"aEEG, Posterior",aEEG Posterior_avg,aeeg_posterior_max,aeeg,max,µV (peak-to-peak),,,,,,posterior,,aEEG01,1.0,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: Max, Min, Median, p75, p25"
64.0,,,,,,26 Hz,0.2 sec,50+60 Hz,,22,I5_2,5,2,"aEEG, Posterior",aEEG Posterior_avg,aeeg_posterior_min,aeeg,min,µV (peak-to-peak),,,,,,posterior,,aEEG01,1.0,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: Max, Min, Median, p75, p25"
64.0,,,,,,26 Hz,0.2 sec,50+60 Hz,,23,I5_3,5,3,"aEEG, Posterior",aEEG Posterior_avg,aeeg_posterior_p50,aeeg,p50,µV (peak-to-peak),,,,,,posterior,,aEEG01,1.0,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: Max, Min, Median, p75, p25"
64.0,,,,,,26 Hz,0.2 sec,50+60 Hz,,24,I5_4,5,4,"aEEG, Posterior",aEEG Posterior_avg,aeeg_posterior_p75,aeeg,p75,µV (peak-to-peak),,,,,,posterior,,aEEG01,1.0,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: Max, Min, Median, p75, p25"
64.0,,,,,,26 Hz,0.2 sec,50+60 Hz,,25,I5_5,5,5,"aEEG, Posterior",aEEG Posterior_avg,aeeg_posterior_p25,aeeg,p25,µV (peak-to-peak),,,,,,posterior,,aEEG01,1.0,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: Max, Min, Median, p75, p25"
,,,,,,,,,,26,I6_1,6,1,Artifact Detector,Artifact,artifact_detector_i6s1,artifact_detector,,,,,,,,,,,,,,ordinal,P-COMM,Mike 2026-08-20: 18 internal classifiers; discard
,,,,,,,,,,27,I6_2,6,2,Artifact Detector,Artifact,artifact_detector_i6s2,artifact_detector,,,,,,,,,,,,,,ordinal,P-COMM,Mike 2026-08-20: 18 internal classifiers; discard
,,,,,,,,,,28,I6_3,6,3,Artifact Detector,Artifact,artifact_detector_i6s3,artifact_detector,,,,,,,,,,,,,,ordinal,P-COMM,Mike 2026-08-20: 18 internal classifiers; discard
,,,,,,,,,,29,I6_4,6,4,Artifact Detector,Artifact,artifact_detector_i6s4,artifact_detector,,,,,,,,,,,,,,ordinal,P-COMM,Mike 2026-08-20: 18 internal classifiers; discard
,,,,,,,,,,30,I6_5,6,5,Artifact Detector,Artifact,artifact_detector_i6s5,artifact_detector,,,,,,,,,,,,,,ordinal,P-COMM,Mike 2026-08-20: 18 internal classifiers; discard
,,,,,,,,,,31,I6_6,6,6,Artifact Detector,Artifact,artifact_detector_i6s6,artifact_detector,,,,,,,,,,,,,,ordinal,P-COMM,Mike 2026-08-20: 18 internal classifiers; discard
,,,,,,,,,,32,I6_7,6,7,Artifact Detector,Artifact,artifact_detector_i6s7,artifact_detector,,,,,,,,,,,,,,ordinal,P-COMM,Mike 2026-08-20: 18 internal classifiers; discard
,,,,,,,,,,33,I6_8,6,8,Artifact Detector,Artifact,artifact_detector_i6s8,artifact_detector,,,,,,,,,,,,,,ordinal,P-COMM,Mike 2026-08-20: 18 internal classifiers; discard
,,,,,,,,,,34,I6_9,6,9,Artifact Detector,Artifact,artifact_detector_i6s9,artifact_detector,,,,,,,,,,,,,,ordinal,P-COMM,Mike 2026-08-20: 18 internal classifiers; discard
,,,,,,,,,,35,I6_10,6,10,Artifact Detector,Artifact,artifact_detector_i6s10,artifact_detector,,,,,,,,,,,,,,ordinal,P-COMM,Mike 2026-08-20: 18 internal classifiers; discard
,,,,,,,,,,36,I6_11,6,11,Artifact Detector,Artifact,artifact_detector_i6s11,artifact_detector,,,,,,,,,,,,,,ordinal,P-COMM,Mike 2026-08-20: 18 internal classifiers; discard
,,,,,,,,,,37,I6_12,6,12,Artifact Detector,Artifact,artifact_detector_i6s12,artifact_detector,,,,,,,,,,,,,,ordinal,P-COMM,Mike 2026-08-20: 18 internal classifiers; discard
,,,,,,,,,,38,I6_13,6,13,Artifact Detector,Artifact,artifact_detector_i6s13,artifact_detector,,,,,,,,,,,,,,ordinal,P-COMM,Mike 2026-08-20: 18 internal classifiers; discard
,,,,,,,,,,39,I6_14,6,14,Artifact Detector,Artifact,artifact_detector_i6s14,artifact_detector,,,,,,,,,,,,,,ordinal,P-COMM,Mike 2026-08-20: 18 internal classifiers; discard
,,,,,,,,,,40,I6_15,6,15,Artifact Detector,Artifact,artifact_detector_i6s15,artifact_detector,,,,,,,,,,,,,,ordinal,P-COMM,Mike 2026-08-20: 18 internal classifiers; discard
,,,,,,,,,,41,I6_16,6,16,Artifact Detector,Artifact,artifact_detector_i6s16,artifact_detector,,,,,,,,,,,,,,ordinal,P-COMM,Mike 2026-08-20: 18 internal classifiers; discard
,,,,,,,,,,42,I6_17,6,17,Artifact Detector,Artifact,artifact_detector_i6s17,artifact_detector,,,,,,,,,,,,,,ordinal,P-COMM,Mike 2026-08-20: 18 internal classifiers; discard
,,,,,,,,,,43,I6_18,6,18,Artifact Detector,Artifact,artifact_detector_i6s18,artifact_detector,,,,,,,,,,,,,,ordinal,P-COMM,Mike 2026-08-20: 18 internal classifiers; discard
128.0,,,,,,,,,,44,I7_1,7,1,Artifact Intensity,ArtifactIntensity,artifact_intensity_emg,artifact_intensity,emg,muscle: µV (per Persyst 2026-08-20; help text says µV² — unconfirmed). V-Eye / L-Eye: probability 0.0–1.0,,,,,,,,Artifact01,1.2,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: muscle uV, V-Eye/L-Eye prob 0-1"
128.0,,,,,,,,,,45,I7_2,7,2,Artifact Intensity,ArtifactIntensity,artifact_intensity_eye_vertical,artifact_intensity,eye_vertical,muscle: µV (per Persyst 2026-08-20; help text says µV² — unconfirmed). V-Eye / L-Eye: probability 0.0–1.0,,,,,,,,Artifact01,1.2,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: muscle uV, V-Eye/L-Eye prob 0-1"
128.0,,,,,,,,,,46,I7_3,7,3,Artifact Intensity,ArtifactIntensity,artifact_intensity_eye_horizontal,artifact_intensity,eye_horizontal,muscle: µV (per Persyst 2026-08-20; help text says µV² — unconfirmed). V-Eye / L-Eye: probability 0.0–1.0,,,,,,,,Artifact01,1.2,1.0,1,ordinal,P-COMM,"Mike 2026-08-20: muscle uV, V-Eye/L-Eye prob 0-1"
64.0,0.5,2.0,4,128,3,,,,yes,47,I8_1,8,1,"Asymmetry, Absolute Index (EASI), 0 - 20 Hz, Asym Hemi","Asymmetry, Absolute Index (EASI) 0-20 Asym Hemi",asymmetry_easi_broadband_hemisphere,asymmetry,easi_broadband_hemisphere,"% (EASI 0–100 magnitude; REASI −100 to +100, + = right>left)",uV,,0.0,20.0,,,,FFTEngine01,4.0,8.0,8,ordinal,P-DOC,"Trend Types Asymmetry.md; EASI 0-100, REASI -100..+100"
64.0,0.5,2.0,4,128,3,,,,yes,48,I9_1,9,1,"Asymmetry, Relative Index (REASI), 0 - 20 Hz, Asym Hemi","Asymmetry, Relative Index (REASI) 0-20 Asym Hemi",asymmetry_reasi_broadband_hemisphere,asymmetry,reasi_broadband_hemisphere,"% (EASI 0–100 magnitude; REASI −100 to +100, + = right>left)",uV,,0.0,20.0,,,,FFTEngine01,4.0,8.0,8,ordinal,P-DOC,"Trend Types Asymmetry.md; EASI 0-100, REASI -100..+100"
64.0,0.5,2.0,4,128,3,,,,yes,49,I10_1,10,1,"Asymmetry, Relative Index (REASI), 0 - 5 Hz, Asym Hemi","Asymmetry, Relative Index (REASI) 0-5 Asym Hemi",asymmetry_reasi_delta_hemisphere,asymmetry,reasi_delta_hemisphere,"% (EASI 0–100 magnitude; REASI −100 to +100, + = right>left)",uV,,0.0,5.0,,,,FFTEngine01,4.0,8.0,8,ordinal,P-DOC,"Trend Types Asymmetry.md; EASI 0-100, REASI -100..+100"
64.0,0.5,2.0,4,128,3,,,,yes,50,I11_1,11,1,"Asymmetry, Relative Index (REASI), 0 - 5 Hz, Asym Parasagittal","Asymmetry, Relative Index (REASI) 0-5 Asym Parasagittal",asymmetry_reasi_delta_parasagittal,asymmetry,reasi_delta_parasagittal,"% (EASI 0–100 magnitude; REASI −100 to +100, + = right>left)",uV,,0.0,5.0,,,,FFTEngine01,4.0,8.0,8,ordinal,P-DOC,"Trend Types Asymmetry.md; EASI 0-100, REASI -100..+100"
64.0,0.5,2.0,4,128,3,,,,yes,51,I12_1,12,1,"Asymmetry, Relative Index (REASI), 0 - 5 Hz, Asym Posterior","Asymmetry, Relative Index (REASI) 0-5 Asym Posterior",asymmetry_reasi_delta_posterior,asymmetry,reasi_delta_posterior,"% (EASI 0–100 magnitude; REASI −100 to +100, + = right>left)",uV,,0.0,5.0,,posterior,,FFTEngine01,4.0,8.0,8,ordinal,P-DOC,"Trend Types Asymmetry.md; EASI 0-100, REASI -100..+100"
64.0,0.5,2.0,4,128,3,,,,yes,52,I13_1,13,1,"Asymmetry, Relative Index (REASI), 0 - 5 Hz, Asym Temporal","Asymmetry, Relative Index (REASI) 0-5 Asym Temporal",asymmetry_reasi_delta_temporal,asymmetry,reasi_delta_temporal,"% (EASI 0–100 magnitude; REASI −100 to +100, + = right>left)",uV,,0.0,5.0,,,,FFTEngine01,4.0,8.0,8,ordinal,P-DOC,"Trend Types Asymmetry.md; EASI 0-100, REASI -100..+100"
64.0,0.5,2.0,4,128,3,,,,yes,53,I14_1,14,1,"Asymmetry, Relative Index (REASI), 4 - 8 Hz, Asym Hemi","Asymmetry, Relative Index (REASI) 4-8 Asym Hemi",asymmetry_reasi_hemisphere,asymmetry,reasi_hemisphere,"% (EASI 0–100 magnitude; REASI −100 to +100, + = right>left)",uV,theta,4.0,8.0,,,,FFTEngine01,4.0,8.0,8,ordinal,P-DOC,"Trend Types Asymmetry.md; EASI 0-100, REASI -100..+100"
64.0,0.5,2.0,4,128,3,,,,yes,54,I15_1,15,1,"Asymmetry, Relative Index (REASI), 6 - 14 Hz, Asym Hemi","Asymmetry, Relative Index (REASI) 6-14 Asym Hemi",asymmetry_reasi_alpha_hemisphere,asymmetry,reasi_alpha_hemisphere,"% (EASI 0–100 magnitude; REASI −100 to +100, + = right>left)",uV,,6.0,14.0,,,,FFTEngine01,4.0,8.0,8,ordinal,P-DOC,"Trend Types Asymmetry.md; EASI 0-100, REASI -100..+100"
64.0,0.5,2.0,4,128,3,,,,yes,55,I16_1,16,1,"Asymmetry, Relative Index (REASI), 6 - 14 Hz, Asym Parasagittal","Asymmetry, Relative Index (REASI) 6-14 Asym Parasagittal",asymmetry_reasi_alpha_parasagittal,asymmetry,reasi_alpha_parasagittal,"% (EASI 0–100 magnitude; REASI −100 to +100, + = right>left)",uV,,6.0,14.0,,,,FFTEngine01,4.0,8.0,8,ordinal,P-DOC,"Trend Types Asymmetry.md; EASI 0-100, REASI -100..+100"
64.0,0.5,2.0,4,128,3,,,,yes,56,I17_1,17,1,"Asymmetry, Relative Index (REASI), 6 - 14 Hz, Asym Posterior","Asymmetry, Relative Index (REASI) 6-14 Asym Posterior",asymmetry_reasi_alpha_posterior,asymmetry,reasi_alpha_posterior,"% (EASI 0–100 magnitude; REASI −100 to +100, + = right>left)",uV,,6.0,14.0,,posterior,,FFTEngine01,4.0,8.0,8,ordinal,P-DOC,"Trend Types Asymmetry.md; EASI 0-100, REASI -100..+100"
64.0,0.5,2.0,4,128,3,,,,yes,57,I18_1,18,1,"Asymmetry, Relative Index (REASI), 6 - 14 Hz, Asym Temporal","Asymmetry, Relative Index (REASI) 6-14 Asym Temporal",asymmetry_reasi_alpha_temporal,asymmetry,reasi_alpha_temporal,"% (EASI 0–100 magnitude; REASI −100 to +100, + = right>left)",uV,,6.0,14.0,,,,FFTEngine01,4.0,8.0,8,ordinal,P-DOC,"Trend Types Asymmetry.md; EASI 0-100, REASI -100..+100"
128.0,,,,,,,,,,58,I19_1,19,1,Boolean LAD+,[>= 1.1 <0> [SumValues_Abs_0-0 [Rhythmicity Spectrogram 3.00 Left Anterior_avg]]] AND [>= 5 <0> [SumValues_Abs_2-2 [Rhythmicity Spectrogram 3.00 Left Anterior_avg]]],rhythmic_delta_left_anterior,rhythmic_delta,left_anterior,boolean (0/1),,,,,left,anterior,,RhythmicityEngine01,3.0,2.0,2,ordinal,EMP,MMX boolean logic: threshold on Rhythmicity delta band; NOT periodic discharges
128.0,,,,,,,,,,59,I20_1,20,1,Boolean LPD+,[>= 1.1 <0> [SumValues_Abs_0-0 [Rhythmicity Spectrogram 3.00 Left Posterior_avg]]] AND [>= 5 <0> [SumValues_Abs_2-2 [Rhythmicity Spectrogram 3.00 Left Posterior_avg]]],rhythmic_delta_left_posterior,rhythmic_delta,left_posterior,boolean (0/1),,,,,left,posterior,,RhythmicityEngine01,3.0,2.0,2,ordinal,EMP,MMX boolean logic: threshold on Rhythmicity delta band; NOT periodic discharges
128.0,,,,,,,,,,60,I21_1,21,1,Boolean LRD+,[[>= 1.1 <0> [SumValues_Abs_0-0 [Rhythmicity Spectrogram 3.00 Left Anterior_avg]]] AND [>= 5 <0> [SumValues_Abs_2-2 [Rhythmicity Spectrogram 3.00 Left Anterior_avg]]]] OR [[>= 1.1 <0> [SumValues_Abs_0-0 [Rhythmicity Spectrogram 3.00 Left Posterior_avg]]] AND [>= 5 <0> [SumValues_Abs_2-2 [Rhythmicity Spectrogram 3.00 Left Posterior_avg]]]],rhythmic_delta_left_hemisphere,rhythmic_delta,left_hemisphere,boolean (0/1),,,,,left,anterior,,RhythmicityEngine01,3.0,2.0,2,ordinal,EMP,MMX boolean logic: threshold on Rhythmicity delta band; NOT periodic discharges
128.0,,,,,,,,,,61,I22_1,22,1,Boolean RAD+,[>= 1.1 <0> [SumValues_Abs_0-0 [Rhythmicity Spectrogram 3.00 Right Anterior_avg]]] AND [>= 5 <0> [SumValues_Abs_2-2 [Rhythmicity Spectrogram 3.00 Right Anterior_avg]]],rhythmic_delta_right_anterior,rhythmic_delta,right_anterior,boolean (0/1),,,,,right,anterior,,RhythmicityEngine01,3.0,2.0,2,ordinal,EMP,MMX boolean logic: threshold on Rhythmicity delta band; NOT periodic discharges
128.0,,,,,,,,,,62,I23_1,23,1,Boolean RPD+,[>= 1.1 <0> [SumValues_Abs_0-0 [Rhythmicity Spectrogram 3.00 Right Posterior_avg]]] AND [>= 5 <0> [SumValues_Abs_2-2 [Rhythmicity Spectrogram 3.00 Right Posterior_avg]]],rhythmic_delta_right_posterior,rhythmic_delta,right_posterior,boolean (0/1),,,,,right,posterior,,RhythmicityEngine01,3.0,2.0,2,ordinal,EMP,MMX boolean logic: threshold on Rhythmicity delta band; NOT periodic discharges
128.0,,,,,,,,,,63,I24_1,24,1,Boolean RRD+,[[>= 1.1 <0> [SumValues_Abs_0-0 [Rhythmicity Spectrogram 3.00 Right Anterior_avg]]] AND [>= 5 <0> [SumValues_Abs_2-2 [Rhythmicity Spectrogram 3.00 Right Anterior_avg]]]] OR [[>= 1.1 <0> [SumValues_Abs_0-0 [Rhythmicity Spectrogram 3.00 Right Posterior_avg]]] AND [>= 5 <0> [SumValues_Abs_2-2 [Rhythmicity Spectrogram 3.00 Right Posterior_avg]]]],rhythmic_delta_right_hemisphere,rhythmic_delta,right_hemisphere,boolean (0/1),,,,,right,anterior,,RhythmicityEngine01,3.0,2.0,2,ordinal,EMP,MMX boolean logic: threshold on Rhythmicity delta band; NOT periodic discharges
,,,,,,,,,yes,64,I25_1,25,1,"Coherence_Avg 0-32 C3-P3*C4-P4, 0 - 32 Hz, C3-P3*C4-P4",Coherence_Avg 0-32 C3-P3*C4-P4,coherence_avg_c3p3_0_32hz,coherence_spectrogram,,coherence (0–1),uV^2,,0.0,32.0,,,C3P3,,,,,ordinal,MMX,Coherence appears in help only as a stored value
,,,,,,,,,yes,65,I26_1,26,1,"Coherence_Avg 0-32 F3-C3*F4-C4, 0 - 32 Hz, F3-C3*F4-C4",Coherence_Avg 0-32 F3-C3*F4-C4,coherence_avg_f3c3_0_32hz,coherence_spectrogram,,coherence (0–1),uV^2,,0.0,32.0,,,F3C3,,,,,ordinal,MMX,Coherence appears in help only as a stored value
,,,,,,,,,yes,66,I27_1,27,1,"Coherence_Avg 0-32 P3-O1*P4-O2, 0 - 32 Hz, P3-O1*P4-O2",Coherence_Avg 0-32 P3-O1*P4-O2,coherence_avg_p3o1_0_32hz,coherence_spectrogram,,coherence (0–1),uV^2,,0.0,32.0,,,P3O1,,,,,ordinal,MMX,Coherence appears in help only as a stored value
,,,,,,,,,yes,67,I28_1,28,1,"Coherence_Avg 0-32 T7-P7*T8-P8, 0 - 32 Hz, T7-P7*T8-P8",Coherence_Avg 0-32 T7-P7*T8-P8,coherence_avg_t7p7_0_32hz,coherence_spectrogram,,coherence (0–1),,,0.0,32.0,,,T7P7,,,,,ordinal,MMX,Coherence appears in help only as a stored value
,,,,,,,,,yes,68,I29_1,29,1,"Coherence_Avg 0-32 P7-O1*P8-O2, 0 - 32 Hz, P7-O1*P8-O2",Coherence_Avg 0-32 P7-O1*P8-O2,coherence_avg_p7o1_0_32hz,coherence_spectrogram,,coherence (0–1),,,0.0,32.0,,,P7O1,,,,,ordinal,MMX,Coherence appears in help only as a stored value
128.0,,,,,,,,,,69,I30_1,30,1,Electrode Signal Quality,ElectrodeSignalQuality,esq_ch01,electrode_quality,Fp1,"dimensionless, 0=clean → 1.0; >1.0 = above impedance disconnect threshold. Clamped at the MMX display Maximum (1.2 in this template)",,,,,,,,Artifact01,1.2,1.0,1,ordinal,P-COMM,Mike 2026-08-20: 22 physical electrodes; >1.0 = disconnect
128.0,,,,,,,,,,70,I30_2,30,2,Electrode Signal Quality,ElectrodeSignalQuality,esq_ch02,electrode_quality,Fp2,"dimensionless, 0=clean → 1.0; >1.0 = above impedance disconnect threshold. Clamped at the MMX display Maximum (1.2 in this template)",,,,,,,,Artifact01,1.2,1.0,1,ordinal,P-COMM,Mike 2026-08-20: 22 physical electrodes; >1.0 = disconnect
128.0,,,,,,,,,,71,I30_3,30,3,Electrode Signal Quality,ElectrodeSignalQuality,esq_ch03,electrode_quality,F7,"dimensionless, 0=clean → 1.0; >1.0 = above impedance disconnect threshold. Clamped at the MMX display Maximum (1.2 in this template)",,,,,,,,Artifact01,1.2,1.0,1,ordinal,P-COMM,Mike 2026-08-20: 22 physical electrodes; >1.0 = disconnect
128.0,,,,,,,,,,72,I30_4,30,4,Electrode Signal Quality,ElectrodeSignalQuality,esq_ch04,electrode_quality,F3,"dimensionless, 0=clean → 1.0; >1.0 = above impedance disconnect threshold. Clamped at the MMX display Maximum (1.2 in this template)",,,,,,,,Artifact01,1.2,1.0,1,ordinal,P-COMM,Mike 2026-08-20: 22 physical electrodes; >1.0 = disconnect
128.0,,,,,,,,,,73,I30_5,30,5,Electrode Signal Quality,ElectrodeSignalQuality,esq_ch05,electrode_quality,Fz,"dimensionless, 0=clean → 1.0; >1.0 = above impedance disconnect threshold. Clamped at the MMX display Maximum (1.2 in this template)",,,,,,,,Artifact01,1.2,1.0,1,ordinal,P-COMM,Mike 2026-08-20: 22 physical electrodes; >1.0 = disconnect
128.0,,,,,,,,,,74,I30_6,30,6,Electrode Signal Quality,ElectrodeSignalQuality,esq_ch06,electrode_quality,F4,"dimensionless, 0=clean → 1.0; >1.0 = above impedance disconnect threshold. Clamped at the MMX display Maximum (1.2 in this template)",,,,,,,,Artifact01,1.2,1.0,1,ordinal,P-COMM,Mike 2026-08-20: 22 physical electrodes; >1.0 = disconnect
128.0,,,,,,,,,,75,I30_7,30,7,Electrode Signal Quality,ElectrodeSignalQuality,esq_ch07,electrode_quality,F8,"dimensionless, 0=clean → 1.0; >1.0 = above impedance disconnect threshold. Clamped at the MMX display Maximum (1.2 in this template)",,,,,,,,Artifact01,1.2,1.0,1,ordinal,P-COMM,Mike 2026-08-20: 22 physical electrodes; >1.0 = disconnect
128.0,,,,,,,,,,76,I30_8,30,8,Electrode Signal Quality,ElectrodeSignalQuality,esq_ch08,electrode_quality,T3,"dimensionless, 0=clean → 1.0; >1.0 = above impedance disconnect threshold. Clamped at the MMX display Maximum (1.2 in this template)",,,,,,,,Artifact01,1.2,1.0,1,ordinal,P-COMM,Mike 2026-08-20: 22 physical electrodes; >1.0 = disconnect
